
2025/05/03 (18:50:52) | ===> btop++ v.1.4.0
2025/05/03 (18:50:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (18:51:01) | ===> btop++ v.1.4.0
2025/05/03 (18:51:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (18:51:11) | ===> btop++ v.1.4.0
2025/05/03 (18:51:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (18:52:54) | ===> btop++ v.1.4.0
2025/05/03 (18:52:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (23:32:08) | ===> btop++ v.1.4.0
2025/05/03 (23:32:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (23:33:57) | ===> btop++ v.1.4.0
2025/05/03 (23:33:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (23:40:34) | ===> btop++ v.1.4.0
2025/05/03 (23:40:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (10:18:15) | ===> btop++ v.1.4.0
2025/05/05 (10:18:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (12:13:25) | ===> btop++ v.1.4.0
2025/05/06 (12:13:25) | WARNING: Intel GPU: Failed to initialize PMU
